date,rate,timestamp
2024-06-23,16477.55,2024-06-22 23:59:32+00:00
2024-06-22,16477.55,2024-06-21 23:59:37+00:00
2024-06-21,16500.897129,2024-06-20 23:59:59+00:00
2024-06-20,16399.75,2024-06-19 23:59:07+00:00
2024-06-19,16389.0,2024-06-18 23:59:59+00:00
2024-06-18,16466.5,2024-06-17 23:59:38+00:00
2024-06-17,16474.111372,2024-06-16 23:59:37+00:00
2024-06-16,16486.5,2024-06-15 23:59:49+00:00
2024-06-15,16486.5,2024-06-14 23:59:49+00:00
2024-06-14,16293.187817,2024-06-13 23:59:59+00:00
2024-06-13,16245.818333,2024-06-12 23:59:55+00:00
2024-06-12,16314.799824,2024-06-11 23:59:59+00:00
2024-06-11,16318.696541,2024-06-10 23:59:59+00:00
2024-06-10,16277.184509,2024-06-09 23:59:55+00:00
2024-06-09,16276.8,2024-06-08 23:59:50+00:00
2024-06-08,16276.8,2024-06-07 23:59:45+00:00
2024-06-07,16248.150868,2024-06-06 23:59:59+00:00
2024-06-06,16321.472131,2024-06-05 23:59:59+00:00
2024-06-05,16297.259194,2024-06-04 23:59:59+00:00
2024-06-04,16210.092991,2024-06-03 23:59:59+00:00
2024-06-03,16250.458398,2024-06-02 23:59:50+00:00
2024-06-02,16255.1,2024-06-01 23:59:59+00:00
2024-06-01,16255.1,2024-05-31 23:59:58+00:00
2024-05-31,16240.408357,2024-05-30 23:59:59+00:00
2024-05-30,16260.170058,2024-05-29 23:59:59+00:00
2024-05-29,16124.889091,2024-05-28 23:59:59+00:00
2024-05-28,16077.087079,2024-05-27 23:59:42+00:00
2024-05-27,16044.964187,2024-05-26 23:59:39+00:00
2024-05-26,16045.0,2024-05-25 23:59:38+00:00
2024-05-25,16045.0,2024-05-24 23:59:38+00:00
2024-05-24,16101.931064,2024-05-23 23:59:59+00:00
2024-05-23,16047.670443,2024-05-22 23:59:59+00:00
2024-05-22,16011.560478,2024-05-21 23:59:59+00:00
2024-05-21,16040.4,2024-05-20 23:59:39+00:00
2024-05-20,15965.258516,2024-05-19 23:59:38+00:00
2024-05-19,15964.5,2024-05-18 23:59:47+00:00
2024-05-18,15964.5,2024-05-17 23:59:53+00:00
2024-05-17,15938.882448,2024-05-16 23:59:59+00:00
2024-05-16,15927.586246,2024-05-15 23:59:59+00:00
2024-05-15,16117.526214,2024-05-14 23:59:59+00:00
